product_id,product_name,category,brand,cost_price,competitor_price,our_historical_price,discount_pct,rating,page_views,conversion_rate,units_sold_last_30d,forecast_demand,inventory_on_hand,shipping_cost,optimal_price
PROD0352,Product 352,Electronics,BrandD,2562.71,3432.78,3339.06,18.6,3.9,3487.0,0.1115,460,454.93,672.0,120.53,3557.91
PROD0689,Product 689,Home,BrandD,954.645,2820.53,2873.52,23.47,3.3,5074.5,0.1043,386,377.48,748.0,92.33,2494.13
PROD0485,Product 485,Toys,BrandD,574.74,739.22,756.72,11.34,3.8,5081.0,0.01,47,318.64,110.0,33.78,679.4
PROD0388,Product 388,Sports,BrandE,877.19,1065.6,1053.49,14.045000000000002,3.9,3275.0,0.01,28,26.93,65.0,42.3,962.78
PROD0031,Product 31,Books,BrandB,375.2,550.63,531.17,12.83,4.4,8645.0,0.0215,214,202.73,452.0,19.45,514.71
PROD0442,Product 442,Electronics,BrandC,3119.73,4351.6,4265.71,13.29,3.3,1679.0,0.0237,46,41.49,93.0,48.095,3881.1
PROD0198,Product 198,Home,BrandB,1520.29,1924.28,1916.38,22.98,5.0,228.0,0.0836,10,10.66,20.0,71.61,1787.74
PROD0425,Product 425,Home,BrandD,1946.39,2803.12,2900.01,15.88,3.0408572138965404,1126.0,0.3620485304096544,128,122.87,127.0,116.7,2964.5
PROD0107,Product 107,Books,BrandD,509.12,710.94,702.41,12.934999999999999,2.9,1746.0,0.0762,139,139.64,452.0,29.83,653.69
PROD0714,Product 714,Books,BrandE,423.93,531.3,520.87,15.184655607684157,5.0,9331.0,0.8571221184789259,923,986.31,1420.0,20.26,570.31
PROD0552,Product 552,Toys,BrandD,706.48,919.89,874.49,11.99,3.5,2866.0,0.1864648295021366,29,26.42,20.0,38.08,961.54
PROD0158,Product 158,Fashion,BrandA,718.6,935.7,981.46,15.65,5.0,2924.0,0.0846,0,228.85,475.0,36.98,914.07
PROD0475,Product 475,Sports,BrandD,1235.51,1827.25,1909.09,14.045000000000002,5.0,2633.0,0.0445,112,115.98,110.0,64.3,2044.3
PROD0423,Product 423,Fashion,BrandA,859.02,1145.98,1177.84,5.51,3.7,9273.0,0.0337,338,332.52,510.0,35.81,1158.02
PROD0895,Product 895,Electronics,BrandC,3029.41,4355.85,4326.51,11.7,4.0,6080.0,0.09,449,479.73,861.0,145.66,4047.0
PROD0617,Product 617,Fashion,BrandD,737.43,957.77,950.44,14.29,3.8,9813.0,0.1131,1224,1226.81,2193.0,31.0,946.22
